Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent
-277	2020-01-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-276	2020-01-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-275	2020-01-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-274	2020-01-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-273	2020-01-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-272	2020-01-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-271	2020-01-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-270	2020-01-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-269	2020-01-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-268	2020-01-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-267	2020-01-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-266	2020-01-18	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-265	2020-01-19	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-264	2020-01-20	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-263	2020-01-21	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-262	2020-01-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-261	2020-01-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-260	2020-01-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-259	2020-01-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-258	2020-01-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-257	2020-01-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-256	2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-255	2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-254	2020-01-30	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-253	2020-01-31	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-252	2020-02-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-251	2020-02-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-250	2020-02-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-249	2020-02-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-248	2020-02-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-247	2020-02-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-246	2020-02-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-245	2020-02-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-244	2020-02-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-243	2020-02-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-242	2020-02-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-241	2020-02-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-240	2020-02-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-239	2020-02-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-238	2020-02-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-237	2020-02-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-236	2020-02-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-235	2020-02-18	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-234	2020-02-19	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-233	2020-02-20	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-232	2020-02-21	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-231	2020-02-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-230	2020-02-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-229	2020-02-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-228	2020-02-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-227	2020-02-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-226	2020-02-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-225	2020-02-28	1	0	1	0	1	0	1	0	1	0.0	1	0.0		
-224	2020-02-29	4	0	3	0	4	0	7	0	5	0.0	7	0.0		
-223	2020-03-01	8	0	4	0	8	0	14	0	7	0.0	14	0.0		
-222	2020-03-02	9	0	1	0	9	0	16	0	1	0.0	16	0.0		
-221	2020-03-03	9	0	0	0	9	0	16	0	0	0.0	16	0.0		
-220	2020-03-04	25	0	16	0	25	0	44	0	28	0.0	44	0.0		
-219	2020-03-05	40	0	15	0	40	0	71	0	26	0.0	71	0.0		
-218	2020-03-06	49	0	9	0	48	0	87	0	16	0.0	86	0.0		
-217	2020-03-07	54	0	5	0	50	0	96	0	8	0.0	89	0.0		
-216	2020-03-08	58	0	4	0	50	0	104	0	7	0.0	89	0.0		
-215	2020-03-09	61	0	3	0	52	0	109	0	5	0.0	93	0.0		
-214	2020-03-10	63	0	2	0	54	0	113	0	3	0.0	96	0.0		
-213	2020-03-11	70	0	7	0	45	0	125	0	12	0.0	80	0.0		
-212	2020-03-12	76	0	6	0	36	0	136	0	10	0.0	64	0.0		
-211	2020-03-13	98	1	22	1	49	1	175	1	39	1.795	87	1.8		
-210	2020-03-14	151	2	53	1	97	2	271	3	95	1.795	174	3.59		
-209	2020-03-15	165	4	14	2	107	4	296	7	25	3.59	192	7.18		
-208	2020-03-16	176	5	11	1	115	5	315	8	19	1.795	206	8.98		
-207	2020-03-17	234	7	58	2	171	7	420	12	104	3.59	306	12.57		
-206	2020-03-18	250	8	16	1	180	8	448	14	28	1.795	323	14.36		
-205	2020-03-19	299	9	49	1	223	9	536	16	87	1.795	400	16.16		
-204	2020-03-20	413	19	114	10	315	18	741	34	204	17.952	565	32.31		
-203	2020-03-21	478	21	65	2	327	19	858	37	116	3.59	587	34.11		
-202	2020-03-22	504	21	26	0	339	17	904	37	46	0.0	608	30.52		
-201	2020-03-23	531	23	27	2	355	18	953	41	48	3.59	637	32.31		
-200	2020-03-24	589	26	58	3	355	19	1057	46	104	5.386	637	34.11		
-199	2020-03-25	672	28	83	2	422	20	1206	50	149	3.59	757	35.9		
