Landkreis	Bundesland	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	DoublingTime_Cases_Last_Week_Per_100000
Göppingen (Landkreis)	Baden-Württemberg	258145	3020	50	11698	193	21.7	58.7	
Ludwigsburg (Landkreis)	Baden-Württemberg	545423	7350	106	13475	194	23.5	91.2	
Rems-Murr-Kreis (Landkreis)	Baden-Württemberg	427248	5321	113	12454	264	24.6	70.5	
Heilbronn (Stadtkreis)	Baden-Württemberg	126592	1952	23	15419	181	18.0	78.7	
Heilbronn (Landkreis)	Baden-Württemberg	344456	3438	48	9980	139	8.0	88.0	58.5
Hohenlohekreis (Landkreis)	Baden-Württemberg	112655	1348	48	11965	426	14.3	85.7	
Schwäbisch Hall (Landkreis)	Baden-Württemberg	196761	2040	70	10367	355	5.5	56.4	
Main-Tauber-Kreis (Landkreis)	Baden-Württemberg	132399	1096	12	8278	90	8.5	45.1	21.7
Heidenheim (Landkreis)	Baden-Württemberg	132777	1407	45	10596	338	13.6	81.8	17.7
Ostalbkreis (Landkreis)	Baden-Württemberg	314025	3610	52	11495	165	5.6	73.6	31.0
Baden-Baden (Stadtkreis)	Baden-Württemberg	55185	513	20	9296	362	25.0	85.0	
Karlsruhe (Stadtkreis)	Baden-Württemberg	312060	2469	23	7911	73	9.1	77.9	
Karlsruhe (Landkreis)	Baden-Württemberg	445101	4060	121	9121	271	40.5	67.6	
Rastatt (Landkreis)	Baden-Württemberg	231420	2105	26	9096	112	0.0	100.0	
Heidelberg (Stadtkreis)	Baden-Württemberg	161485	1502	10	9301	61	9.5	68.6	41.3
Mannheim (Stadtkreis)	Baden-Württemberg	310658	3567	22	11482	70	15.8	87.2	29.8
Neckar-Odenwald-Kreis (Landkreis)	Baden-Württemberg	143633	1097	28	7637	194	5.9	52.9	
Rhein-Neckar-Kreis (Landkreis)	Baden-Württemberg	548355	4793	69	8740	125	21.3	74.5	38.2
Pforzheim (Stadtkreis)	Baden-Württemberg	125957	1700	12	13496	95	13.7	74.0	
Calw (Landkreis)	Baden-Württemberg	159201	1850	31	11620	194	16.7	70.0	
Enzkreis (Landkreis)	Baden-Württemberg	199556	2137	33	10708	165	8.3	91.7	
Freudenstadt (Landkreis)	Baden-Württemberg	118243	1251	40	10579	338	0.0	64.3	35.4
Freiburg im Breisgau (Stadtkreis)	Baden-Württemberg	231195	2444	82	10571	354	8.0	86.4	
Breisgau-Hochschwarzwald (Landkreis)	Baden-Württemberg	263601	2829	78	10732	295	3.3	77.0	
Emmendingen (Landkreis)	Baden-Württemberg	166408	1742	47	10468	282	2.2	96.7	
Ortenaukreis (Landkreis)	Baden-Württemberg	430953	4456	147	10339	341	11.2	61.2	
Rottweil (Landkreis)	Baden-Württemberg	139878	1591	28	11374	200	33.3	50.0	15.7
Schwarzwald-Baar-Kreis (Landkreis)	Baden-Württemberg	212506	1832	40	8620	188	18.9	78.4	56.9
Tuttlingen (Landkreis)	Baden-Württemberg	140766	1357	28	9640	198	10.0	60.0	13.5
Konstanz (Landkreis)	Baden-Württemberg	286305	2403	22	8393	76	9.4	73.6	
Lörrach (Landkreis)	Baden-Württemberg	228736	2459	65	10750	284	11.1	70.4	18.6
Waldshut (Landkreis)	Baden-Württemberg	171003	1518	38	8877	222	42.9	85.7	
Reutlingen (Landkreis)	Baden-Württemberg	287034	3527	89	12287	310	9.1	56.8	30.2
Tübingen (Landkreis)	Baden-Württemberg	228678	2901	75	12685	327	10.5	87.6	
Zollernalbkreis (Landkreis)	Baden-Württemberg	189363	2182	81	11522	427	34.6	96.2	
Ulm (Stadtkreis)	Baden-Württemberg	126790	1466	15	11562	118	16.4	76.4	42.0
Alb-Donau-Kreis (Landkreis)	Baden-Württemberg	197076	2205	59	11188	299	25.0	87.5	
Biberach (Landkreis)	Baden-Württemberg	201282	1516	42	7531	208	11.1	72.2	
Bodenseekreis (Landkreis)	Baden-Württemberg	217470	1293	9	5945	41	13.0	46.4	26.4
Ravensburg (Landkreis)	Baden-Württemberg	285424	1833	9	6422	31	6.9	68.1	51.7
Sigmaringen (Landkreis)	Baden-Württemberg	130849	1309	38	10003	290	0.0	63.2	
Ingolstadt (Kreisfreie Stadt)	Bayern	137392	1835	43	13355	312	16.0	86.0	17.2
München (Kreisfreie Stadt)	Bayern	1484226	23813	281	16044	189	12.6	82.0	37.5
Rosenheim (Kreisfreie Stadt)	Bayern	63551	1426	23	22438	361	17.9	84.6	
Altötting (Landkreis)	Bayern	111516	1479	57	13262	511	13.8	93.1	29.4
Berchtesgadener Land (Landkreis)	Bayern	105929	1644	32	15519	302	13.6	72.7	
Bad Tölz-Wolfratshausen (Landkreis)	Bayern	127917	1368	13	10694	101	17.9	78.6	24.3
Dachau (Landkreis)	Bayern	154899	2521	47	16275	303	14.3	100.0	
Ebersberg (Landkreis)	Bayern	143649	1781	14	12398	97	12.5	62.5	
Eichstätt (Landkreis)	Bayern	132881	1105	25	8315	188	6.2	87.5	25.7
Erding (Landkreis)	Bayern	138182	1881	14	13612	101	30.4	65.2	
Freising (Landkreis)	Bayern	180007	2515	50	13971	277	42.9	85.7	37.2
Fürstenfeldbruck (Landkreis)	Bayern	219311	3229	48	14723	218	30.0	100.0	
Garmisch-Partenkirchen (Landkreis)	Bayern	88424	879	21	9940	237	3.4	62.9	
Landsberg am Lech (Landkreis)	Bayern	120302	1238	13	10290	108	35.7	85.7	
Miesbach (Landkreis)	Bayern	100010	1406	11	14058	109	7.7	61.5	
Mühldorf a. Inn (Landkreis)	Bayern	115872	1715	29	14800	250	25.0	60.0	
München (Landkreis)	Bayern	350473	4743	100	13533	285	0.0	61.5	
Neuburg-Schrobenhausen (Landkreis)	Bayern	97303	1082	28	11119	287	2.4	65.9	
Pfaffenhofen a.d. Ilm (Landkreis)	Bayern	128227	1408	27	10980	210	12.5	25.0	11.7
Rosenheim (Landkreis)	Bayern	261330	5246	216	20074	826	2.9	83.8	
Starnberg (Landkreis)	Bayern	136667	1562	15	11429	109	9.7	66.1	
Traunstein (Landkreis)	Bayern	177319	3322	97	18734	547	20.0	75.4	24.0
Weilheim-Schongau (Landkreis)	Bayern	135478	1397	14	10311	103	13.9	55.6	
Landshut (Kreisfreie Stadt)	Bayern	73411	862	10	11742	136	8.1	77.4	
Passau (Kreisfreie Stadt)	Bayern	52803	700	21	13256	397	8.9	67.9	19.3
Straubing (Kreisfreie Stadt)	Bayern	47791	754	50	15777	1046	11.1	77.8	
Deggendorf (Landkreis)	Bayern	119478	1148	22	9608	184	25.0	87.5	
Freyung-Grafenau (Landkreis)	Bayern	78362	944	19	12046	242	4.5	50.0	9.2
Kelheim (Landkreis)	Bayern	123058	1245	36	10117	292	4.2	66.7	22.5
Landshut (Landkreis)	Bayern	159895	1817	41	11363	256	40.0	60.0	44.0
Passau (Landkreis)	Bayern	192656	2636	42	13682	218	20.0	74.3	20.3
Regen (Landkreis)	Bayern	77410	767	13	9908	167	18.8	50.0	37.2
Rottal-Inn (Landkreis)	Bayern	121502	2205	62	18147	510	38.5	76.9	
Straubing-Bogen (Landkreis)	Bayern	101120	1173	31	11600	306	25.0	58.3	21.8
Dingolfing-Landau (Landkreis)	Bayern	96683	1541	14	15938	144	0.0	50.0	14.6
Amberg (Kreisfreie Stadt)	Bayern	42207	336	4	7960	94	1.9	51.9	
Regensburg (Kreisfreie Stadt)	Bayern	153094	2013	10	13148	65	12.8	74.4	39.0
Weiden i.d. OPf. (Kreisfreie Stadt)	Bayern	42743	799	20	18693	467	16.4	89.1	12.7
Amberg-Sulzbach (Landkreis)	Bayern	103049	1052	55	10208	533	21.4	50.0	8.4
Cham (Landkreis)	Bayern	127998	1383	24	10804	187	17.6	70.6	
Neumarkt i.d. OPf. (Landkreis)	Bayern	134573	1277	37	9489	274	13.6	68.2	48.4
Neustadt a.d. Waldnaab (Landkreis)	Bayern	94450	1540	76	16304	804			26.8
Regensburg (Landkreis)	Bayern	194070	1961	21	10104	108	14.3	78.6	13.8
Schwandorf (Landkreis)	Bayern	147872	1572	24	10630	162	10.2	49.0	12.5
Tirschenreuth (Landkreis)	Bayern	72046	1647	143	22860	1984	0.0	84.6	
Bamberg (Kreisfreie Stadt)	Bayern	77373	668	26	8633	336	10.3	75.9	
Bayreuth (Kreisfreie Stadt)	Bayern	74783	628	14	8397	187	4.7	82.8	
Coburg (Kreisfreie Stadt)	Bayern	41072	299	5	7279	121	7.0	76.7	
Hof (Kreisfreie Stadt)	Bayern	45825	406	5	8859	109	5.3	86.8	
Bamberg (Landkreis)	Bayern	147163	1306	42	8874	285	25.0	50.0	
Bayreuth (Landkreis)	Bayern	103664	835	29	8054	279	0.0	71.4	
Coburg (Landkreis)	Bayern	86747	841	32	9694	368			44.5
Forchheim (Landkreis)	Bayern	116203	855	4	7357	34	14.3	64.3	51.1
Hof (Landkreis)	Bayern	94801	988	35	10421	369	5.3	42.1	13.0
Kronach (Landkreis)	Bayern	66743	577	5	8645	74	18.8	81.2	50.7
Kulmbach (Landkreis)	Bayern	71566	642	12	8970	167	3.7	77.8	
Lichtenfels (Landkreis)	Bayern	66776	884	24	13238	359	2.0	76.5	
Wunsiedel i. Fichtelgebirge (Landkreis)	Bayern	72655	1086	47	14947	646	0.0	35.0	
Ansbach (Kreisfreie Stadt)	Bayern	41798	434	9	10383	215	7.4	70.4	
Erlangen (Kreisfreie Stadt)	Bayern	112528	955	12	8486	106	13.0	82.9	
Fürth (Kreisfreie Stadt)	Bayern	128497	1564	40	12171	311	16.4	70.9	25.7
Nürnberg (Kreisfreie Stadt)	Bayern	518370	6308	64	12168	123	15.6	76.9	16.7
Schwabach (Kreisfreie Stadt)	Bayern	40981	381	2	9296	48	14.3	71.4	
Ansbach (Landkreis)	Bayern	184591	1758	37	9523	200	12.5	45.8	24.9
Erlangen-Höchstadt (Landkreis)	Bayern	137262	1056	11	7693	80	0.0	83.3	13.9
Fürth (Landkreis)	Bayern	117853	1380	71	11709	602			
Nürnberger Land (Landkreis)	Bayern	170792	1594	47	9332	275	11.5	80.8	25.5
Neustadt a.d. Aisch-Bad Windsheim (Landkreis)	Bayern	101014	781	7	7731	69	3.6	81.8	9.4
Roth (Landkreis)	Bayern	126749	1036	10	8173	78	25.0	50.0	16.6
Weißenburg-Gunzenhausen (Landkreis)	Bayern	94734	886	28	9352	295	12.5	62.5	
Aschaffenburg (Kreisfreie Stadt)	Bayern	71002	589	4	8295	56	9.2	81.5	
Schweinfurt (Kreisfreie Stadt)	Bayern	53426	753	23	14094	430	23.9	87.0	
Würzburg (Kreisfreie Stadt)	Bayern	127934	1532	54	11974	422	8.5	78.2	
Aschaffenburg (Landkreis)	Bayern	174200	1838	44	10551	252	25.0	100.0	57.4
Bad Kissingen (Landkreis)	Bayern	103235	581	18	5627	174	2.1	85.4	
Rhön-Grabfeld (Landkreis)	Bayern	79635	636	12	7986	150	8.3	90.2	
Haßberge (Landkreis)	Bayern	84384	656	7	7773	82	9.1	45.5	9.0
Kitzingen (Landkreis)	Bayern	91155	743	6	8150	65	50.0	100.0	
Miltenberg (Landkreis)	Bayern	128743	1361	22	10571	170	20.0	90.0	
Main-Spessart (Landkreis)	Bayern	126158	691	8	5477	63	11.1	66.7	23.2
Schweinfurt (Landkreis)	Bayern	115445	1671	36	14474	311	0.0	33.3	
Würzburg (Landkreis)	Bayern	162302	1474	21	9081	129	33.3	77.8	
Augsburg (Kreisfreie Stadt)	Bayern	296582	4994	44	16838	148	18.1	76.0	
Kaufbeuren (Kreisfreie Stadt)	Bayern	44398	553	12	12455	270	27.8	88.9	
Kempten (Allgäu) (Kreisfreie Stadt)	Bayern	69151	621	12	8980	173	4.5	84.1	15.9
Memmingen (Kreisfreie Stadt)	Bayern	44100	467	3	10589	68	6.9	79.3	
Aichach-Friedberg (Landkreis)	Bayern	134655	1423	23	10567	170	33.3	77.8	
Augsburg (Landkreis)	Bayern	253468	2881	20	11366	78	23.1	76.9	
Dillingen a.d. Donau (Landkreis)	Bayern	96562	997	36	10324	372	13.0	65.2	49.8
Günzburg (Landkreis)	Bayern	127027	1498	14	11792	110	8.5	81.4	
Neu-Ulm (Landkreis)	Bayern	175204	1813	29	10347	165	0.0	68.4	
Lindau (Bodensee) (Landkreis)	Bayern	81981	931	10	11356	121	7.7	53.8	
Ostallgäu (Landkreis)	Bayern	141182	1673	42	11849	297	8.7	56.5	
Unterallgäu (Landkreis)	Bayern	145341	1457	33	10024	227	21.4	85.7	49.7
Donau-Ries (Landkreis)	Bayern	133783	1492	34	11152	254	23.1	80.8	
Oberallgäu (Landkreis)	Bayern	156008	1289	13	8262	83	25.0	65.0	
