Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent
-265	2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-264	2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-263	2020-01-30	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-262	2020-01-31	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-261	2020-02-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-260	2020-02-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-259	2020-02-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-258	2020-02-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-257	2020-02-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-256	2020-02-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-255	2020-02-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-254	2020-02-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-253	2020-02-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-252	2020-02-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-251	2020-02-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-250	2020-02-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-249	2020-02-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-248	2020-02-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-247	2020-02-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-246	2020-02-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-245	2020-02-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-244	2020-02-18	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-243	2020-02-19	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-242	2020-02-20	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-241	2020-02-21	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-240	2020-02-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-239	2020-02-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-238	2020-02-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-237	2020-02-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-236	2020-02-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-235	2020-02-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-234	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-233	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-232	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-231	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-230	2020-03-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-229	2020-03-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-228	2020-03-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-227	2020-03-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-226	2020-03-07	1	0	1	0	1	0	8	0	8	0.0	8	0.0		
-225	2020-03-08	1	0	0	0	1	0	8	0	0	0.0	8	0.0		
-224	2020-03-09	1	0	0	0	1	0	8	0	0	0.0	8	0.0		
-223	2020-03-10	1	0	0	0	1	0	8	0	0	0.0	8	0.0		
-222	2020-03-11	1	0	0	0	1	0	8	0	0	0.0	8	0.0		
-221	2020-03-12	2	0	1	0	2	0	16	0	8	0.0	16	0.0		
-220	2020-03-13	3	0	1	0	3	0	25	0	8	0.0	25	0.0		
-219	2020-03-14	7	0	4	0	6	0	59	0	33	0.0	50	0.0		
-218	2020-03-15	8	0	1	0	7	0	67	0	8	0.0	59	0.0		
-217	2020-03-16	10	0	2	0	9	0	84	0	16	0.0	76	0.0		
-216	2020-03-17	13	0	3	0	12	0	109	0	25	0.0	101	0.0		
-215	2020-03-18	13	0	0	0	12	0	109	0	0	0.0	101	0.0		
-214	2020-03-19	15	0	2	0	13	0	126	0	16	0.0	109	0.0		
-213	2020-03-20	30	0	15	0	27	0	253	0	126	0.0	228	0.0		
-212	2020-03-21	33	0	3	0	26	0	279	0	25	0.0	219	0.0		
-211	2020-03-22	61	0	28	0	53	0	515	0	236	0.0	448	0.0		
-210	2020-03-23	66	0	5	0	56	0	558	0	42	0.0	473	0.0		
-209	2020-03-24	76	0	10	0	63	0	642	0	84	0.0	532	0.0		
-208	2020-03-25	101	0	25	0	88	0	854	0	211	0.0	744	0.0		
-207	2020-03-26	126	1	25	1	111	1	1065	8	211	8.457	938	8.46		
-206	2020-03-27	149	1	23	0	119	1	1260	8	194	0.0	1006	8.46		
-205	2020-03-28	162	3	13	2	129	3	1370	25	109	16.914	1090	25.37		
-204	2020-03-29	179	3	17	0	118	3	1513	25	143	0.0	997	25.37		
-203	2020-03-30	182	3	3	0	116	3	1539	25	25	0.0	981	25.37		
-202	2020-03-31	194	4	12	1	118	4	1640	33	101	8.457	997	33.83		
-201	2020-04-01	211	7	17	3	110	7	1784	59	143	25.371	930	59.2		
-200	2020-04-02	221	8	10	1	95	7	1869	67	84	8.457	803	59.2		
-199	2020-04-03	258	11	37	3	109	10	2181	93	312	25.371	921	84.57		
-198	2020-04-04	270	11	12	0	108	8	2283	93	101	0.0	913	67.66		
-197	2020-04-05	278	11	8	0	99	8	2351	93	67	0.0	837	67.66		
-196	2020-04-06	285	11	7	0	103	8	2410	93	59	0.0	871	67.66		
-195	2020-04-07	336	14	51	3	142	10	2841	118	431	25.371	1200	84.57		
-194	2020-04-08	346	14	10	0	135	7	2926	118	84	0.0	1141	59.2		
-193	2020-04-09	394	21	48	7	173	13	3332	177	405	59.2	1463	109.94		
-192	2020-04-10	405	21	11	0	147	10	3425	177	93	0.0	1243	84.57		
-191	2020-04-11	434	24	29	3	164	13	3670	202	245	25.371	1386	109.94		
-190	2020-04-12	436	24	2	0	158	13	3687	202	16	0.0	1336	109.94		
-189	2020-04-13	437	24	1	0	152	13	3695	202	8	0.0	1285	109.94		
-188	2020-04-14	441	27	4	3	105	13	3729	228	33	25.371	888	109.94		
-187	2020-04-15	450	31	9	4	104	17	3805	262	76	33.829	879	143.77		
-186	2020-04-16	471	31	21	0	77	10	3983	262	177	0.0	651	84.57		
-185	2020-04-17	478	31	7	0	73	10	4042	262	59	0.0	617	84.57		
-184	2020-04-18	484	31	6	0	50	7	4093	262	50	0.0	422	59.2		
-183	2020-04-19	515	35	31	4	79	11	4355	296	262	33.829	668	93.03		
-182	2020-04-20	515	35	0	0	78	11	4355	296	0	0.0	659	93.03		
-181	2020-04-21	517	35	2	0	76	8	4372	296	16	0.0	642	67.66		
-180	2020-04-22	528	35	11	0	78	4	4465	296	93	0.0	659	33.83		
-179	2020-04-23	534	35	6	0	63	4	4516	296	50	0.0	532	33.83		
-178	2020-04-24	536	35	2	0	58	4	4533	296	16	0.0	490	33.83		
-177	2020-04-25	537	35	1	0	53	4	4541	296	8	0.0	448	33.83		
-176	2020-04-26	541	35	4	0	26	0	4575	296	33	0.0	219	0.0	16.7	50.0
-175	2020-04-27	541	35	0	0	26	0	4575	296	0	0.0	219	0.0	22.2	50.0
-174	2020-04-28	542	35	1	0	25	0	4583	296	8	0.0	211	0.0	16.7	50.0
-173	2020-04-29	542	35	0	0	14	0	4583	296	0	0.0	118	0.0	16.7	55.6
-172	2020-04-30	548	35	6	0	14	0	4634	296	50	0.0	118	0.0	16.7	50.0
-171	2020-05-01	555	36	7	1	19	1	4693	304	59	8.457	160	8.46	11.1	66.7
-170	2020-05-02	558	37	3	1	21	2	4719	312	25	8.457	177	16.91	11.1	66.7
-169	2020-05-03	558	37	0	0	17	2	4719	312	0	0.0	143	16.91	6.2	56.2
-168	2020-05-04	559	37	1	0	18	2	4727	312	8	0.0	152	16.91	6.2	56.2
-167	2020-05-05	559	37	0	0	17	2	4727	312	0	0.0	143	16.91	7.1	85.7
-166	2020-05-06	560	37	1	0	18	2	4736	312	8	0.0	152	16.91	14.3	64.3
-165	2020-05-07	563	37	3	0	15	2	4761	312	25	0.0	126	16.91	14.3	71.4
-164	2020-05-08	563	37	0	0	8	1	4761	312	0	0.0	67	8.46	7.1	71.4
-163	2020-05-09	564	37	1	0	6	0	4769	312	8	0.0	50	0.0	7.1	57.1
-162	2020-05-10	564	37	0	0	6	0	4769	312	0	0.0	50	0.0	7.1	57.1
-161	2020-05-11	564	37	0	0	5	0	4769	312	0	0.0	42	0.0	7.1	57.1
-160	2020-05-12	564	37	0	0	5	0	4769	312	0	0.0	42	0.0	7.1	42.9
-159	2020-05-13	564	37	0	0	4	0	4769	312	0	0.0	33	0.0	0.0	35.7
-158	2020-05-14	565	37	1	0	2	0	4778	312	8	0.0	16	0.0	0.0	42.9
-157	2020-05-15	565	37	0	0	2	0	4778	312	0	0.0	16	0.0	0.0	71.4
-156	2020-05-16	566	37	1	0	2	0	4786	312	8	0.0	16	0.0	0.0	78.6
-155	2020-05-17	566	37	0	0	2	0	4786	312	0	0.0	16	0.0	0.0	71.4
-154	2020-05-18	566	37	0	0	2	0	4786	312	0	0.0	16	0.0	0.0	71.4
-153	2020-05-19	566	37	0	0	2	0	4786	312	0	0.0	16	0.0	0.0	71.4
-152	2020-05-20	566	37	0	0	2	0	4786	312	0	0.0	16	0.0	0.0	57.1
-151	2020-05-21	566	37	0	0	1	0	4786	312	0	0.0	8	0.0	0.0	64.3
-150	2020-05-22	566	37	0	0	1	0	4786	312	0	0.0	8	0.0	0.0	64.3
-149	2020-05-23	568	37	2	0	2	0	4803	312	16	0.0	16	0.0	0.0	57.1
-148	2020-05-24	568	37	0	0	2	0	4803	312	0	0.0	16	0.0	0.0	78.6
-147	2020-05-25	568	37	0	0	2	0	4803	312	0	0.0	16	0.0	0.0	78.6
-146	2020-05-26	569	37	1	0	3	0	4812	312	8	0.0	25	0.0	0.0	57.1
-145	2020-05-27	570	37	1	0	4	0	4820	312	8	0.0	33	0.0	0.0	57.1
-144	2020-05-28	570	37	0	0	4	0	4820	312	0	0.0	33	0.0	0.0	85.7
-143	2020-05-29	570	37	0	0	4	0	4820	312	0	0.0	33	0.0	0.0	85.7
-142	2020-05-30	570	37	0	0	2	0	4820	312	0	0.0	16	0.0	0.0	84.6
-141	2020-05-31	570	37	0	0	2	0	4820	312	0	0.0	16	0.0	0.0	80.0
-140	2020-06-01	570	37	0	0	2	0	4820	312	0	0.0	16	0.0	0.0	66.7
-139	2020-06-02	570	37	0	0	1	0	4820	312	0	0.0	8	0.0	0.0	46.2
-138	2020-06-03	570	37	0	0	0	0	4820	312	0	0.0	0	0.0	0.0	71.4
-137	2020-06-04	570	37	0	0	0	0	4820	312	0	0.0	0	0.0	0.0	71.4
-136	2020-06-05	570	37	0	0	0	0	4820	312	0	0.0	0	0.0	0.0	71.4
-135	2020-06-06	570	37	0	0	0	0	4820	312	0	0.0	0	0.0	0.0	50.0
-134	2020-06-07	571	38	1	1	1	1	4829	321	8	8.457	8	8.46	0.0	80.0
-133	2020-06-08	571	38	0	0	1	1	4829	321	0	0.0	8	8.46	0.0	80.0
-132	2020-06-09	571	38	0	0	1	1	4829	321	0	0.0	8	8.46	0.0	80.0
-131	2020-06-10	571	38	0	0	1	1	4829	321	0	0.0	8	8.46	0.0	85.7
-130	2020-06-11	571	38	0	0	1	1	4829	321	0	0.0	8	8.46	0.0	64.3
-129	2020-06-12	571	38	0	0	1	1	4829	321	0	0.0	8	8.46	0.0	57.1
-128	2020-06-13	571	38	0	0	1	1	4829	321	0	0.0	8	8.46	0.0	80.0
-127	2020-06-14	571	38	0	0	0	0	4829	321	0	0.0	0	0.0	0.0	64.3
-126	2020-06-15	571	38	0	0	0	0	4829	321	0	0.0	0	0.0	0.0	64.3
-125	2020-06-16	571	38	0	0	0	0	4829	321	0	0.0	0	0.0	0.0	50.0
-124	2020-06-17	571	38	0	0	0	0	4829	321	0	0.0	0	0.0	0.0	50.0
-123	2020-06-18	571	38	0	0	0	0	4829	321	0	0.0	0	0.0	0.0	50.0
-122	2020-06-19	571	38	0	0	0	0	4829	321	0	0.0	0	0.0	0.0	50.0
-121	2020-06-20	571	38	0	0	0	0	4829	321	0	0.0	0	0.0		
-120	2020-06-21	571	38	0	0	0	0	4829	321	0	0.0	0	0.0		
