Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent
-261	2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-260	2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-259	2020-01-30	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-258	2020-01-31	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-257	2020-02-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-256	2020-02-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-255	2020-02-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-254	2020-02-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-253	2020-02-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-252	2020-02-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-251	2020-02-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-250	2020-02-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-249	2020-02-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-248	2020-02-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-247	2020-02-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-246	2020-02-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-245	2020-02-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-244	2020-02-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-243	2020-02-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-242	2020-02-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-241	2020-02-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-240	2020-02-18	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-239	2020-02-19	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-238	2020-02-20	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-237	2020-02-21	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-236	2020-02-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-235	2020-02-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-234	2020-02-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-233	2020-02-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-232	2020-02-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-231	2020-02-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-230	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-229	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-228	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-227	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-226	2020-03-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-225	2020-03-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-224	2020-03-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-223	2020-03-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-222	2020-03-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-221	2020-03-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-220	2020-03-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-219	2020-03-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-218	2020-03-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-217	2020-03-12	8	0	8	0	8	0	91	0	91	0.0	91	0.0		
-216	2020-03-13	10	0	2	0	10	0	114	0	22	0.0	114	0.0		
-215	2020-03-14	14	0	4	0	14	0	160	0	45	0.0	160	0.0		
-214	2020-03-15	15	0	1	0	15	0	172	0	11	0.0	172	0.0		
-213	2020-03-16	17	1	2	1	17	1	195	11	22	11.493	195	11.49		
-212	2020-03-17	19	1	2	0	19	1	218	11	22	0.0	218	11.49		
-211	2020-03-18	22	1	3	0	22	1	252	11	34	0.0	252	11.49		
-210	2020-03-19	29	1	7	0	21	1	333	11	80	0.0	241	11.49		
-209	2020-03-20	36	1	7	0	26	1	413	11	80	0.0	298	11.49		
-208	2020-03-21	39	1	3	0	25	1	448	11	34	0.0	287	11.49		
-207	2020-03-22	46	1	7	0	31	1	528	11	80	0.0	356	11.49		
-206	2020-03-23	49	1	3	0	32	0	563	11	34	0.0	367	0.0		
-205	2020-03-24	54	1	5	0	35	0	620	11	57	0.0	402	0.0		
-204	2020-03-25	62	1	8	0	40	0	712	11	91	0.0	459	0.0		
-203	2020-03-26	69	1	7	0	40	0	793	11	80	0.0	459	0.0		
-202	2020-03-27	73	1	4	0	37	0	839	11	45	0.0	425	0.0		
-201	2020-03-28	81	2	8	1	42	1	930	22	91	11.493	482	11.49		
-200	2020-03-29	81	2	0	0	35	1	930	22	0	0.0	402	11.49		
-199	2020-03-30	85	2	4	0	36	1	976	22	45	0.0	413	11.49		
-198	2020-03-31	88	2	3	0	34	1	1011	22	34	0.0	390	11.49		
-197	2020-04-01	97	2	9	0	35	1	1114	22	103	0.0	402	11.49		
-196	2020-04-02	102	2	5	0	33	1	1172	22	57	0.0	379	11.49		
-195	2020-04-03	108	2	6	0	35	1	1241	22	68	0.0	402	11.49		
-194	2020-04-04	115	2	7	0	34	0	1321	22	80	0.0	390	0.0		
-193	2020-04-05	115	2	0	0	34	0	1321	22	0	0.0	390	0.0		
-192	2020-04-06	119	3	4	1	34	1	1367	34	45	11.493	390	11.49		
-191	2020-04-07	123	3	4	0	35	1	1413	34	45	0.0	402	11.49		
-190	2020-04-08	134	3	11	0	37	1	1540	34	126	0.0	425	11.49		
-189	2020-04-09	142	3	8	0	40	1	1632	34	91	0.0	459	11.49		
-188	2020-04-10	142	3	0	0	34	1	1632	34	0	0.0	390	11.49		
-187	2020-04-11	144	3	2	0	29	1	1655	34	22	0.0	333	11.49		
-186	2020-04-12	145	3	1	0	30	1	1666	34	11	0.0	344	11.49		
-185	2020-04-13	145	3	0	0	26	0	1666	34	0	0.0	298	0.0		
-184	2020-04-14	146	3	1	0	23	0	1678	34	11	0.0	264	0.0		
-183	2020-04-15	149	3	3	0	15	0	1712	34	34	0.0	172	0.0		
-182	2020-04-16	149	3	0	0	7	0	1712	34	0	0.0	80	0.0		
-181	2020-04-17	149	3	0	0	7	0	1712	34	0	0.0	80	0.0		
-180	2020-04-18	149	3	0	0	5	0	1712	34	0	0.0	57	0.0		
-179	2020-04-19	149	3	0	0	4	0	1712	34	0	0.0	45	0.0		
-178	2020-04-20	149	3	0	0	4	0	1712	34	0	0.0	45	0.0		
-177	2020-04-21	151	3	2	0	5	0	1735	34	22	0.0	57	0.0		
-176	2020-04-22	151	3	0	0	2	0	1735	34	0	0.0	22	0.0		
-175	2020-04-23	152	3	1	0	3	0	1746	34	11	0.0	34	0.0		
-174	2020-04-24	152	3	0	0	3	0	1746	34	0	0.0	34	0.0		
-173	2020-04-25	152	3	0	0	3	0	1746	34	0	0.0	34	0.0		
-172	2020-04-26	152	3	0	0	3	0	1746	34	0	0.0	34	0.0	5.6	44.4
-171	2020-04-27	154	3	2	0	5	0	1769	34	22	0.0	57	0.0	0.0	43.8
-170	2020-04-28	154	3	0	0	3	0	1769	34	0	0.0	34	0.0	0.0	43.8
-169	2020-04-29	154	3	0	0	3	0	1769	34	0	0.0	34	0.0	0.0	62.5
-168	2020-04-30	155	4	1	1	3	1	1781	45	11	11.493	34	11.49	0.0	62.5
-167	2020-05-01	156	4	1	0	4	1	1792	45	11	0.0	45	11.49	0.0	56.2
-166	2020-05-02	156	4	0	0	4	1	1792	45	0	0.0	45	11.49	0.0	50.0
-165	2020-05-03	156	4	0	0	4	1	1792	45	0	0.0	45	11.49	0.0	100.0
-164	2020-05-04	159	5	3	1	5	2	1827	57	34	11.493	57	22.99	0.0	72.2
-163	2020-05-05	160	5	1	0	6	2	1838	57	11	0.0	68	22.99	0.0	87.5
-162	2020-05-06	161	5	1	0	7	2	1850	57	11	0.0	80	22.99	6.2	93.8
-161	2020-05-07	162	5	1	0	7	1	1861	57	11	0.0	80	11.49	6.2	93.8
-160	2020-05-08	162	5	0	0	6	1	1861	57	0	0.0	68	11.49	6.2	100.0
-159	2020-05-09	162	5	0	0	6	1	1861	57	0	0.0	68	11.49	6.2	100.0
-158	2020-05-10	162	5	0	0	6	1	1861	57	0	0.0	68	11.49	12.5	87.5
-157	2020-05-11	163	5	1	0	4	0	1873	57	11	0.0	45	0.0	12.5	87.5
-156	2020-05-12	163	5	0	0	3	0	1873	57	0	0.0	34	0.0	12.5	87.5
-155	2020-05-13	164	5	1	0	3	0	1884	57	11	0.0	34	0.0	6.2	87.5
-154	2020-05-14	164	5	0	0	2	0	1884	57	0	0.0	22	0.0	6.2	87.5
-153	2020-05-15	164	5	0	0	2	0	1884	57	0	0.0	22	0.0	0.0	75.0
-152	2020-05-16	164	5	0	0	2	0	1884	57	0	0.0	22	0.0	6.2	87.5
-151	2020-05-17	164	5	0	0	2	0	1884	57	0	0.0	22	0.0	6.2	87.5
-150	2020-05-18	165	5	1	0	2	0	1896	57	11	0.0	22	0.0	0.0	81.2
-149	2020-05-19	165	5	0	0	2	0	1896	57	0	0.0	22	0.0	0.0	81.2
-148	2020-05-20	165	5	0	0	1	0	1896	57	0	0.0	11	0.0	0.0	75.0
-147	2020-05-21	165	5	0	0	1	0	1896	57	0	0.0	11	0.0	0.0	87.5
-146	2020-05-22	165	5	0	0	1	0	1896	57	0	0.0	11	0.0	0.0	75.0
-145	2020-05-23	165	5	0	0	1	0	1896	57	0	0.0	11	0.0	0.0	56.2
-144	2020-05-24	165	5	0	0	1	0	1896	57	0	0.0	11	0.0	0.0	56.2
-143	2020-05-25	165	5	0	0	0	0	1896	57	0	0.0	0	0.0	0.0	56.2
-142	2020-05-26	165	5	0	0	0	0	1896	57	0	0.0	0	0.0	0.0	56.2
-141	2020-05-27	165	5	0	0	0	0	1896	57	0	0.0	0	0.0	0.0	56.2
-140	2020-05-28	165	5	0	0	0	0	1896	57	0	0.0	0	0.0	0.0	43.8
-139	2020-05-29	166	5	1	0	1	0	1907	57	11	0.0	11	0.0	0.0	62.5
-138	2020-05-30	166	5	0	0	1	0	1907	57	0	0.0	11	0.0	0.0	81.2
-137	2020-05-31	166	5	0	0	1	0	1907	57	0	0.0	11	0.0	0.0	81.2
-136	2020-06-01	166	5	0	0	1	0	1907	57	0	0.0	11	0.0	6.2	81.2
-135	2020-06-02	167	5	1	0	2	0	1919	57	11	0.0	22	0.0	6.2	75.0
